n,Numerical,Exact,Relative Error
0,0.49998752465145385,0.5,2.495069709229636e-05
1,1.4999376220111422,1.5,4.158532590518386e-05
2,2.499837813617447,2.5,6.487455302117695e-05
3,3.4996880957332483,3.5,8.91155047861858e-05
4,4.49948846462067,4.5,0.00011367452873993027
5,5.499238916540882,5.5,0.00013837881074865973
6,6.498939447754289,6.5,0.00016316188395557255
7,7.498590054520356,7.5,0.00018799273061915757
8,8.49819073309727,8.5,0.00021285492973303002
9,9.497741479742722,9.5,0.00023773897445036445
